dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,17,/people/person/profession,1311,0.40486,0.39569,0.39569,-0.00917,-2.26450,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,22,/education/educational_institution/students_graduates./education/education/student,311,0.10733,0.10469,0.10496,-0.00236,-2.20238,0.00027,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,28,/film/film/country,131,0.42019,0.42015,0.41916,-0.00102,-0.24373,-0.00098,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,151,0.51089,0.51089,0.51024,-0.00065,-0.12716,-0.00065,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,37,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,91,0.53166,0.53313,0.52839,-0.00328,-0.61608,-0.00474,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,38,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,132,0.15847,0.15847,0.15682,-0.00166,-1.04657,-0.00166,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,39,/people/deceased_person/place_of_death,78,0.19596,0.19004,0.18967,-0.00628,-3.20491,-0.00036,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,40,/sports/pro_athlete/teams./sports/sports_team_roster/team,16,0.16545,0.16336,0.16336,-0.00209,-1.26401,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,41,/music/artist/track_contributions./music/track_contribution/role,152,0.22915,0.23144,0.22408,-0.00507,-2.21198,-0.00736,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,46,/business/business_operation/industry,41,0.33850,0.33525,0.33525,-0.00325,-0.95969,0.00000,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,48,/people/person/nationality,494,0.51507,0.50981,0.50986,-0.00521,-1.01132,0.00005,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,50,/people/cause_of_death/people,94,0.17383,0.17190,0.17187,-0.00195,-1.12413,-0.00003,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,51,/tv/tv_program/languages,24,0.63164,0.57125,0.59499,-0.03665,-5.80249,0.02374,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,54,/location/country/capital,11,0.09805,0.09764,0.09764,-0.00041,-0.42145,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,55,/film/special_film_performance_type/film_performance_type./film/performance/film,11,0.47011,0.45073,0.45073,-0.01938,-4.12174,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,64,/government/legislative_session/members./government/government_position_held/legislative_sessions,13,0.39182,0.38954,0.38954,-0.00229,-0.58429,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,67,/award/award_category/disciplines_or_subjects,15,0.67226,0.62958,0.62958,-0.04268,-6.34906,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,69,/olympics/olympic_participating_country/medals_won./olympics/olympic_medal_honor/olympics,63,0.37638,0.34443,0.34443,-0.03195,-8.48860,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,71,/people/ethnicity/people,251,0.31600,0.31041,0.31117,-0.00483,-1.52976,0.00075,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,72,/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics,31,0.35772,0.36245,0.34784,-0.00988,-2.76283,-0.01462,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,75,/music/performance_role/track_performances./music/track_contribution/role,53,0.22307,0.22093,0.22093,-0.00214,-0.95811,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,77,/base/popstra/celebrity/dated./base/popstra/dated/participant,11,0.01377,0.01454,0.01275,-0.00102,-7.40305,-0.00178,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,78,/base/locations/continents/countries_within,5,0.81961,0.85233,0.51394,-0.30567,-37.29496,-0.33839,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,79,/sports/sports_league_draft/picks./sports/sports_league_draft_pick/school,42,0.21780,0.21581,0.21469,-0.00311,-1.42655,-0.00112,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,84,/film/film/produced_by,60,0.38798,0.38166,0.38275,-0.00524,-1.34951,0.00109,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,85,/people/person/spouse_s./people/marriage/type_of_union,346,0.49123,0.49006,0.49006,-0.00117,-0.23896,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,86,/film/film/production_companies,84,0.39422,0.39569,0.39065,-0.00357,-0.90667,-0.00504,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,88,/base/culturalevent/event/entity_involved,20,0.10802,0.10398,0.10449,-0.00352,-3.26139,0.00051,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,38,0.55090,0.54816,0.54816,-0.00274,-0.49759,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,91,/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type,11,0.68426,0.67674,0.67669,-0.00758,-1.10714,-0.00006,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,96,/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/draft,43,0.61939,0.61939,0.61280,-0.00659,-1.06381,-0.00659,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,97,/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,16,0.58854,0.57798,0.57798,-0.01057,-1.79525,0.00000,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,99,/user/alexander/philosophy/philosopher/interests,9,0.25411,0.25278,0.25278,-0.00133,-0.52476,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,100,/people/person/languages,98,0.42799,0.42767,0.42767,-0.00033,-0.07634,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,101,/education/educational_institution/students_graduates./education/education/major_field_of_study,321,0.23666,0.22605,0.23000,-0.00666,-2.81541,0.00395,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,102,/film/director/film,19,0.34902,0.34902,0.32469,-0.02433,-6.97012,-0.02433,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,104,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics,8,0.84643,0.84010,0.84010,-0.00632,-0.74719,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,105,/film/film/costume_design_by,13,0.36325,0.35476,0.35471,-0.00853,-2.34938,-0.00005,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,107,/tv/tv_program/genre,94,0.50108,0.47933,0.47933,-0.02176,-4.34196,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,50,0.47096,0.47085,0.47093,-0.00004,-0.00808,0.00008,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,121,/base/x2010fifaworldcupsouthafrica/world_cup_squad/current_world_cup_squad./base/x2010fifaworldcupsouthafrica/current_world_cup_squad/current_club,29,0.12155,0.11766,0.11627,-0.00528,-4.34582,-0.00139,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,130,/sports/sports_position/players./sports/sports_team_roster/team,22,0.37966,0.37274,0.36764,-0.01202,-3.16536,-0.00510,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,131,/military/military_conflict/combatants./military/military_combatant_group/combatants,34,0.34212,0.33574,0.33574,-0.00639,-1.86650,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,132,/sports/sports_league/teams./sports/sports_league_participation/team,16,0.60339,0.60111,0.60111,-0.00228,-0.37806,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,133,/base/biblioness/bibs_location/country,14,0.55069,0.53684,0.51692,-0.03378,-6.13321,-0.01992,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,134,/music/group_member/membership./music/group_membership/role,29,0.25564,0.24536,0.24536,-0.01028,-4.02111,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,142,/sports/sports_team/roster./basketball/basketball_roster_position/position,2,0.53554,0.53554,0.53472,-0.00082,-0.15256,-0.00082,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,143,/organization/organization/headquarters./location/mailing_address/state_province_region,39,0.54673,0.54452,0.54332,-0.00340,-0.62261,-0.00120,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,145,/tv/tv_producer/programs_produced./tv/tv_producer_term/program,4,0.33670,0.32619,0.32619,-0.01051,-3.12229,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,17,0.26036,0.26485,0.24807,-0.01229,-4.71863,-0.01678,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,160,/music/artist/origin,34,0.15966,0.11940,0.11940,-0.04027,-25.22063,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,53,0.58643,0.58418,0.58418,-0.00225,-0.38309,0.00000,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,167,/organization/non_profit_organization/registered_with./organization/non_profit_registration/registering_agency,22,0.77494,0.79011,0.73577,-0.03917,-5.05415,-0.05434,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,181,/people/profession/specialization_of,13,0.08780,0.08720,0.08720,-0.00060,-0.68714,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,185,/tv/tv_program/country_of_origin,32,0.55561,0.54956,0.55223,-0.00338,-0.60788,0.00267,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,186,/film/film/edited_by,13,0.40076,0.40047,0.40040,-0.00036,-0.08988,-0.00007,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,187,/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program,11,0.44999,0.44970,0.44970,-0.00029,-0.06490,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,189,/education/educational_degree/people_with_this_degree./education/education/student,27,0.34374,0.33935,0.33935,-0.00440,-1.27875,0.00000,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,222,/location/location/partially_contains,13,0.32828,0.31924,0.31924,-0.00904,-2.75483,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,223,/film/film/film_art_direction_by,3,0.75000,0.66667,0.66667,-0.08333,-11.11111,0.00000,rule_only
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,227,/film/film/dubbing_performances./film/dubbing_performance/actor,8,0.43926,0.43926,0.43405,-0.00521,-1.18570,-0.00521,dependency
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,232,/film/actor/dubbing_performances./film/dubbing_performance/language,12,0.57069,0.57069,0.57067,-0.00001,-0.00229,-0.00001,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,4,P102,631,0.33887,0.33494,0.33489,-0.00398,-1.17545,-0.00005,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,9,P1412,1993,0.47885,0.47822,0.47872,-0.00013,-0.02739,0.00049,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,14,P47,427,0.86297,0.86297,0.85545,-0.00752,-0.87158,-0.00752,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,19,P101,286,0.27316,0.27262,0.27195,-0.00120,-0.44029,-0.00067,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,20,P108,644,0.19558,0.19181,0.19456,-0.00102,-0.52062,0.00275,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,24,P509,392,0.16609,0.16205,0.16147,-0.00462,-2.78017,-0.00058,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,29,P840,155,0.19085,0.18253,0.18922,-0.00163,-0.85625,0.00669,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,32,P54,38,0.28954,0.26790,0.28548,-0.00406,-1.40338,0.01758,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,43,P749,18,0.27503,0.27503,0.27005,-0.00497,-1.80746,-0.00498,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,44,P30,54,0.59138,0.58643,0.58710,-0.00428,-0.72356,0.00067,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,48,P361,69,0.53333,0.53441,0.52896,-0.00437,-0.81982,-0.00545,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,56,P1454,2,0.15133,0.14774,0.14882,-0.00251,-1.65618,0.00108,dependency
codex-l,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,57,P50,11,0.42481,0.41540,0.41966,-0.00515,-1.21227,0.00426,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,4,actedIn,173,0.12326,0.12264,0.12264,-0.00061,-0.49667,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,5,graduatedFrom,42,0.23931,0.23674,0.23674,-0.00257,-1.07510,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,12,participatedIn,19,0.33396,0.29849,0.33305,-0.00091,-0.27273,0.03457,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,19,directed,30,0.38791,0.38744,0.38744,-0.00048,-0.12276,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,20,hasAcademicAdvisor,5,0.11690,0.11626,0.11626,-0.00064,-0.55047,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,23,wroteMusicFor,32,0.18388,0.17726,0.17726,-0.00661,-3.59694,0.00000,rule_only
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,25,isCitizenOf,15,0.38384,0.36732,0.36745,-0.01639,-4.26957,0.00013,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,26,hasChild,24,0.45617,0.44438,0.41820,-0.03796,-8.32250,-0.02618,dependency
YAGO3-10,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,29,livesIn,11,0.19534,0.18780,0.18780,-0.00754,-3.85854,0.00000,rule_only
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,7,CuG,1920,0.24139,0.23196,0.23733,-0.00406,-1.68355,0.00537,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,8,CdG,2134,0.20430,0.19741,0.20215,-0.00215,-1.05022,0.00474,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,10,DaG,1302,0.15858,0.15472,0.15767,-0.00091,-0.57373,0.00295,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,11,DdG,777,0.12117,0.11345,0.11345,-0.00772,-6.37357,0.00000,rule_only
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,13,DpS,344,0.23980,0.23692,0.23301,-0.00679,-2.83253,-0.00391,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,15,DuG,764,0.12587,0.12183,0.12112,-0.00475,-3.77147,-0.00070,dependency
hetionet,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,18,GcG,5251,0.08969,0.08454,0.08700,-0.00269,-3.00097,0.00246,dependency
