Dataset,Relation,Query,Direction,Rank1,Rank2,RR1,RR2,RR2 - RR1,#Candidates
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Tokyo_Verdy,head,11,1,0.090909,1.0,0.909091,100
hetionet,AeG,? AeG Gene::1070,head,11,1,0.090909,1.0,0.909091,101
hetionet,AeG,? AeG Gene::1070,head,11,1,0.090909,1.0,0.909091,101
FB15k-237,location/location/adjoin/s./location/adjoining/relationship/adjoins,/m/01x73 /location/location/adjoin_s./location/adjoining_relationship/adjoins ?,tail,10,1,0.1,1.0,0.9,100
YAGO3-10,isAffiliatedTo,Wilson_Constantino_Novo_Estrela isAffiliatedTo ?,tail,10,1,0.1,1.0,0.9,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Scotland_national_football_B_team,head,10,1,0.1,1.0,0.9,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Spain_national_under-23_football_team,head,10,1,0.1,1.0,0.9,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Spain_national_under-23_football_team,head,10,1,0.1,1.0,0.9,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Ternana_Calcio,head,10,1,0.1,1.0,0.9,100
YAGO3-10,isAffiliatedTo,Emílson_Cribari isAffiliatedTo ?,tail,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,Maksym_Feshchuk isAffiliatedTo ?,tail,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Beşiktaş_J.K.,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Brescia_Calcio,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Busan_IPark,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Sydney_Olympic_FC,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo University_College_Dublin_A.F.C.,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,playsFor,? playsFor Al-Naft,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,playsFor,? playsFor FC_Zorya_Luhansk,head,9,1,0.111111,1.0,0.888889,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Aberdeen_F.C.,head,8,1,0.125,1.0,0.875,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Charlton_Athletic_F.C.,head,8,1,0.125,1.0,0.875,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Charlton_Athletic_F.C.,head,8,1,0.125,1.0,0.875,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Oțelul_Galați,head,8,1,0.125,1.0,0.875,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo NK_Olimpija_Ljubljana_(2005),head,8,1,0.125,1.0,0.875,100
YAGO3-10,playsFor,? playsFor Deportivo_Saprissa,head,8,1,0.125,1.0,0.875,100
YAGO3-10,playsFor,? playsFor Hutnik_Nowa_Huta,head,8,1,0.125,1.0,0.875,100
YAGO3-10,playsFor,? playsFor Torku_Konyaspor,head,8,1,0.125,1.0,0.875,101
YAGO3-10,playsFor,? playsFor Torku_Konyaspor,head,8,1,0.125,1.0,0.875,101
FB15k-237,award/award/category/nominees./award/award/nomination/nominated/for,? /award/award_category/nominees./award/award_nomination/nominated_for /m/0gt14,head,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,Juan_Povedano_Martínez isAffiliatedTo ?,tail,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,Leo_Fortune-West isAffiliatedTo ?,tail,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,Lucas_Barrios isAffiliatedTo ?,tail,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,Manny_Lagos isAffiliatedTo ?,tail,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,Vítor_Moreno isAffiliatedTo ?,tail,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Club_América,head,7,1,0.142857,1.0,0.857143,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Club_América,head,7,1,0.142857,1.0,0.857143,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Club_América,head,7,1,0.142857,1.0,0.857143,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FK_Senica,head,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Gillingham_F.C.,head,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Middlesbrough_F.C.,head,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Pumas_UNAH,head,7,1,0.142857,1.0,0.857143,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Sheffield_Wednesday_F.C.,head,7,1,0.142857,1.0,0.857143,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Sheffield_Wednesday_F.C.,head,7,1,0.142857,1.0,0.857143,101
hetionet,AeG,? AeG Gene::83442,head,7,1,0.142857,1.0,0.857143,103
hetionet,AeG,? AeG Gene::83442,head,7,1,0.142857,1.0,0.857143,103
hetionet,AeG,? AeG Gene::83442,head,7,1,0.142857,1.0,0.857143,103
hetionet,AeG,? AeG Gene::83442,head,7,1,0.142857,1.0,0.857143,103
hetionet,AeG,? AeG Gene::9326,head,7,1,0.142857,1.0,0.857143,100
FB15k-237,award/award/ceremony/awards/presented./award/award/honor/award/winner,? /award/award_ceremony/awards_presented./award/award_honor/award_winner /m/05fnl9,head,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,Edgar_Álvarez isAffiliatedTo ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,Emmanuel_Ake isAffiliatedTo ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,Klaus_Berggreen isAffiliatedTo ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,Peter_Omoduemuke isAffiliatedTo ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,Sandy_Robertson_(footballer_born_1971) isAffiliatedTo ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Brentford_F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Brentford_F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Czech_Republic_national_football_team,head,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Debreceni_VSC,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Debreceni_VSC,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Internațional_Curtea_de_Argeș,head,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Hull_City_A.F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Hull_City_A.F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Hungary_national_under-21_football_team,head,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Monarcas_Morelia,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Monarcas_Morelia,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo TSV_1860_München,head,6,1,0.166667,1.0,0.833333,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo VfB_Stuttgart,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo VfB_Stuttgart,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Wigan_Athletic_F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Wigan_Athletic_F.C.,head,6,1,0.166667,1.0,0.833333,101
YAGO3-10,playsFor,Adrian_Serioux playsFor ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,playsFor,Gustavo_Victoria playsFor ?,tail,6,1,0.166667,1.0,0.833333,100
YAGO3-10,playsFor,? playsFor Santos_FC,head,6,1,0.166667,1.0,0.833333,100
hetionet,AeG,? AeG Gene::1081,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::1081,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::151112,head,6,1,0.166667,1.0,0.833333,100
hetionet,AeG,? AeG Gene::170959,head,6,1,0.166667,1.0,0.833333,100
hetionet,AeG,? AeG Gene::23357,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::23357,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::25915,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::25915,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::3281,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::3281,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::4626,head,6,1,0.166667,1.0,0.833333,100
hetionet,AeG,? AeG Gene::55508,head,6,1,0.166667,1.0,0.833333,100
hetionet,AeG,? AeG Gene::79873,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::79873,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::9101,head,6,1,0.166667,1.0,0.833333,101
hetionet,AeG,? AeG Gene::9101,head,6,1,0.166667,1.0,0.833333,101
FB15k-237,award/award/category/nominees./award/award/nomination/nominated/for,? /award/award_category/nominees./award/award_nomination/nominated_for /m/07k2mq,head,5,1,0.2,1.0,0.8,100
FB15k-237,location/location/adjoin/s./location/adjoining/relationship/adjoins,/m/0vmt /location/location/adjoin_s./location/adjoining_relationship/adjoins ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,edited,Joel_Cox edited ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Adrian_Foster_(footballer) isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Chris_Zebroski isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Colin_McKee isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Ercole_Rabitti isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Gert_Claessens isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Jamie_Slabber isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Michael_Spies isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Michaël_Citony isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Steven_Tweed isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,Tolunay_Kafkas isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,Tolunay_Kafkas isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,William_Robb_(footballer_born_1895) isAffiliatedTo ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Argentina_national_under-20_football_team,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Argentina_national_under-20_football_team,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Cheltenham_Town_F.C.,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Cheltenham_Town_F.C.,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Thun,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Motherwell_F.C.,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Mpumalanga_Black_Aces_F.C.,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Puebla_F.C.,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Puebla_F.C.,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo S.C.U._Torreense,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo SC_Eendracht_Aalst,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo U.S._Lecce,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo U.S._Lecce,head,5,1,0.2,1.0,0.8,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Újpest_FC,head,5,1,0.2,1.0,0.8,100
YAGO3-10,isLocatedIn,? isLocatedIn South_Governorate,head,5,1,0.2,1.0,0.8,100
YAGO3-10,participatedIn,Republic_of_Genoa participatedIn ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,playsFor,Evanílson_Aparecido_Ferreira playsFor ?,tail,5,1,0.2,1.0,0.8,100
YAGO3-10,playsFor,? playsFor Al-Wahda_S.C.C.,head,5,1,0.2,1.0,0.8,100
YAGO3-10,playsFor,? playsFor Deportivo_Municipal,head,5,1,0.2,1.0,0.8,100
YAGO3-10,playsFor,? playsFor Servette_FC,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::10847,head,5,1,0.2,1.0,0.8,103
hetionet,AeG,? AeG Gene::10847,head,5,1,0.2,1.0,0.8,103
hetionet,AeG,? AeG Gene::10847,head,5,1,0.2,1.0,0.8,103
hetionet,AeG,? AeG Gene::10847,head,5,1,0.2,1.0,0.8,103
hetionet,AeG,? AeG Gene::134492,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::1378,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::1378,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::2688,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::3846,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::3846,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::4340,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::4340,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::55813,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::57482,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::57644,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::57644,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::6339,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::6339,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::64118,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::64118,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::79676,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::79991,head,5,1,0.2,1.0,0.8,100
hetionet,AeG,? AeG Gene::9716,head,5,1,0.2,1.0,0.8,101
hetionet,AeG,? AeG Gene::9716,head,5,1,0.2,1.0,0.8,101
hetionet,AuG,? AuG Gene::140700,head,5,1,0.2,1.0,0.8,100
hetionet,AuG,? AuG Gene::6480,head,5,1,0.2,1.0,0.8,101
hetionet,AuG,? AuG Gene::6480,head,5,1,0.2,1.0,0.8,101
FB15k-237,award/award/category/winners./award/award/honor/award/winner,? /award/award_category/winners./award/award_honor/award_winner /m/01gg59,head,4,1,0.25,1.0,0.75,100
FB15k-237,award/award/ceremony/awards/presented./award/award/honor/honored/for,/m/0418154 /award/award_ceremony/awards_presented./award/award_honor/honored_for ?,tail,4,1,0.25,1.0,0.75,100
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/02f76h,head,4,1,0.25,1.0,0.75,102
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/02f76h,head,4,1,0.25,1.0,0.75,102
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/02f76h,head,4,1,0.25,1.0,0.75,102
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/0641kkh,head,4,1,0.25,1.0,0.75,101
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/0641kkh,head,4,1,0.25,1.0,0.75,101
FB15k-237,award/award/nominee/award/nominations./award/award/nomination/award,? /award/award_nominee/award_nominations./award/award_nomination/award /m/0641kkh,head,4,1,0.25,1.0,0.75,101
FB15k-237,award/award/winner/awards/won./award/award/honor/award/winner,? /award/award_winner/awards_won./award/award_honor/award_winner /m/04gnbv1,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Albert_Pape isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Andy_Millen isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Colin_Todd isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Dave_Rogers_(footballer) isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,David_Cowan_(footballer) isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,David_Kelly_(association_footballer) isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Federico_Piovaccari isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,Federico_Piovaccari isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,Federico_Piovaccari isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,Filip_Despotovski isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Gábor_Zavadszky isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Jim_Moffat isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,José_Sanfilippo isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Jürgen_Macho isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Kakhaber_Tskhadadze isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Keith_Scott_(footballer) isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Manuel_Lapuente isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Mark_Prudhoe isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Martin_Williams_(footballer) isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Michal_Daněk isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Miguel_Simão isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Paul_Pettinger isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,Paul_Pettinger isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,Paulo_Sérgio_Betanin isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Renato_Arapi isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Saša_Stamenković isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Stjepan_Deverić isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,Wolfram_Wuttke isAffiliatedTo ?,tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo A.C._Milan,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Associação_Naval_1º_de_Maio,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Ballarat_Red_Devils,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Brighton_&amp;_Hove_Albion_F.C.,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo C.F._Monterrey,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Ceará_Sporting_Club,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Clube_de_Regatas_do_Flamengo,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Clube_de_Regatas_do_Flamengo,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Clydebank_F.C.,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Coventry_City_F.C.,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Coventry_City_F.C.,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Eastern_AA,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Eastleigh_F.C.,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Sion,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo FC_Sion,head,4,1,0.25,1.0,0.75,101
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Gençlerbirliği_S.K.,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Maccabi_Tel_Aviv_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Maccabi_Tel_Aviv_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Maccabi_Tel_Aviv_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo S.S._Juve_Stabia,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo Turkey_national_under-19_football_team,head,4,1,0.25,1.0,0.75,100
YAGO3-10,isAffiliatedTo,? isAffiliatedTo York_City_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo York_City_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isAffiliatedTo,? isAffiliatedTo York_City_F.C.,head,4,1,0.25,1.0,0.75,102
YAGO3-10,isLocatedIn,"Tuscaloosa,_Alabama isLocatedIn ?",tail,4,1,0.25,1.0,0.75,100
YAGO3-10,isLocatedIn,? isLocatedIn Honduras,head,4,1,0.25,1.0,0.75,100
